###############################################################################
# EEPROM Parameters
###############################################################################
Phase_C_Over-Current_Fault_Status        , 0x00EF, uint, dec, 16, 6, spr, spr, spr
#Over-Curr_Enable_Output_Status           , 0x00F2, uint, dec, 16, 6, spr, spr, spr
Hall_Input_1_Status                      , 0x00D8, uint, dec, 16, 6, spr, spr, spr
Hall_Input_2_Status                      , 0x00D9, uint, dec, 16, 6, spr, spr, spr
Hall_Input_3_Status                      , 0x00DA, uint, dec, 16, 6, spr, spr, spr
Encoder_Input_A_Status                   , 0x00DB, uint, dec, 16, 6, spr, spr, spr
Encoder_Input_B_Status                   , 0x00DC, uint, dec, 16, 6, spr, spr, spr
Encoder_Input_Z_Status                   , 0x00DD, uint, dec, 16, 6, spr, spr, spr
VSM_Accel_Filtered_(AIN1_V)(x100)        , 0x005F, uint, dec, 16, 6, spr, spr, spr
VSM_Brake_Filtered_(AIN3_V)(x100)        , 0x00BD, uint, dec, 16, 6, spr, spr, spr
12V_Input_Voltage_(V)(x100)              , 0x0062, uint, dec, 16, 6, spr, spr, spr
5V_Transducer_Voltage_(V)(x100)          , 0x0065, uint, dec, 16, 6, spr, spr, spr

U2C_Output_Voltage_(V)(x10)              , 0x0067, int, dec, 16, 6, spr, spr, spr
U2C_Output_Current_(A)(x10)              , 0x0068, int, dec, 16, 6, spr, spr, spr
U2C_Status                               , 0x0069, int, dec, 16, 6, spr, spr, spr

CAN_Status_Bus_Off                       , 0x00C8, uint, dec, 16, 6, spr, spr, spr
CAN_Status_Error_Passive                 , 0x00C9, uint, dec, 16, 6, spr, spr, spr
CAN_Status_Error_Warning                 , 0x00CA, uint, dec, 16, 6, spr, spr, spr
CAN_Status_Last_Error_Code               , 0x00CB, uint, dec, 16, 6, spr, spr, spr
CAN_Tx_Error_Counter                     , 0x00CC, uint, dec, 16, 6, spr, spr, spr
CAN_Rx_Error_Counter                     , 0x00CD, uint, dec, 16, 6, spr, spr, spr
CAN_Rolling_Count_Flag                   , 0x009D, uint, dec, 16, 6, spr, spr, spr
CAN_Debounce_Count                       , 0x009E, uint, dec, 16, 6, spr, spr, spr

###############################################################################
# Monitored Parameters - EEPROM Data
###############################################################################
EEprom_Type                              , 0x0053, uint, ascii, 16, 6, spr, spr, spr
EEprom_Version                           , 0x0054, uint, hex, 16, 6, spr, spr, spr
EEprom_Data_Size                         , 0x0055, uint, dec, 16, 6, spr, spr, spr
EEprom_State                             , 0x0056, uint, hex, 16, 6, spr, spr, spr

###############################################################################
# Monitored Parameters - Timers & Counters
###############################################################################
Power_on_Timer_3ms_(Hi_byte)             , 0x00C3, uint, dec, 16, 6, spr, spr, spr
Power_on_Timer_3ms_(Lo_byte)             , 0x00C4, uint, dec, 16, 6, spr, spr, spr
Fast_Loop_Time_(us)(x10)                 , 0x00C5, uint, dec, 16, 6, spr, spr, spr
Slow_Loop_Time_(us)                      , 0x00C6, uint, dec, 16, 6, spr, spr, spr

###############################################################################
# Info Parameters - factory programmed, DO NOT attempt to modify
###############################################################################
#Code_Version_YYYY                       , 0x0050, uint, hex, 16, 6, spr, spr, spr
